#separator:tab
#html:true
#columns:Front	Back	Tags
Capitalisation composée : valeur acquise de C après n périodes au taux i ?	C(1+i)^n.	CEA_ISUP Finance capitalisation
Principe d'équivalence des primes pures ?	Valeur actuelle espérée des primes = valeur actuelle espérée des prestations.	CEA_ISUP Assurance_vie prime_pure
Prime annuelle payable seulement en cas de survie : que faut-il actualiser ?	Chaque prime par la probabilité d'être vivant à sa date de paiement et par le facteur financier.	CEA_ISUP Assurance_vie prime_pure
Approximation normale d'une binomiale : moyenne ?	np.	CEA_ISUP Assurance_vie binomiale
Approximation normale d'une binomiale : variance ?	np(1−p).	CEA_ISUP Assurance_vie binomiale
Condition intuitive pour approximation normale binomiale ?	np et n(1−p) suffisamment grands.	CEA_ISUP Assurance_vie binomiale
Homme : l_60=92 032  l_65=88 823. Probabilité de survie jusqu'à 65 ?	0,96513	CEA_ISUP Assurance_vie table_mortalite calcul
Même données : probabilité de décès avant 65 ?	0,03487	CEA_ISUP Assurance_vie table_mortalite calcul
Homme : l_60=92 032  l_70=83 762. Probabilité de survie jusqu'à 70 ?	0,91014	CEA_ISUP Assurance_vie table_mortalite calcul
Même données : probabilité de décès avant 70 ?	0,08986	CEA_ISUP Assurance_vie table_mortalite calcul
Homme : l_75=75 479  l_80=63 004. Probabilité de survie jusqu'à 80 ?	0,83472	CEA_ISUP Assurance_vie table_mortalite calcul
Même données : probabilité de décès avant 80 ?	0,16528	CEA_ISUP Assurance_vie table_mortalite calcul
Homme : l_80=63 004  l_85=46 691. Probabilité de survie jusqu'à 85 ?	0,74108	CEA_ISUP Assurance_vie table_mortalite calcul
Même données : probabilité de décès avant 85 ?	0,25892	CEA_ISUP Assurance_vie table_mortalite calcul
Femme : l_60=95 841  l_65=94 446. Probabilité de survie jusqu'à 65 ?	0,98544	CEA_ISUP Assurance_vie table_mortalite calcul
Même données : probabilité de décès avant 65 ?	0,01456	CEA_ISUP Assurance_vie table_mortalite calcul
Femme : l_60=95 841  l_70=92 283. Probabilité de survie jusqu'à 70 ?	0,96288	CEA_ISUP Assurance_vie table_mortalite calcul
Même données : probabilité de décès avant 70 ?	0,03712	CEA_ISUP Assurance_vie table_mortalite calcul
Femme : l_75=88 188  l_80=80 277. Probabilité de survie jusqu'à 80 ?	0,91029	CEA_ISUP Assurance_vie table_mortalite calcul
Même données : probabilité de décès avant 80 ?	0,08971	CEA_ISUP Assurance_vie table_mortalite calcul
Femme : l_80=80 277  l_90=44 618. Probabilité de survie jusqu'à 90 ?	0,55580	CEA_ISUP Assurance_vie table_mortalite calcul
Même données : probabilité de décès avant 90 ?	0,44420	CEA_ISUP Assurance_vie table_mortalite calcul
Homme et femme âgés de 60 ans, indépendants : probabilité que les deux soient vivants à 65 ans ?	0,95108	CEA_ISUP Assurance_vie multi_vies calcul
Homme et femme âgés de 60 ans, indépendants : probabilité que les deux décèdent avant 65 ans ?	0,00051	CEA_ISUP Assurance_vie multi_vies calcul
Homme et femme âgés de 60 ans, indépendants : probabilité que les deux soient vivants à 70 ans ?	0,87635	CEA_ISUP Assurance_vie multi_vies calcul
Homme et femme âgés de 60 ans, indépendants : probabilité que les deux décèdent avant 70 ans ?	0,00334	CEA_ISUP Assurance_vie multi_vies calcul
Homme et femme âgés de 75 ans, indépendants : probabilité que les deux soient vivants à 80 ans ?	0,75984	CEA_ISUP Assurance_vie multi_vies calcul
Homme et femme âgés de 75 ans, indépendants : probabilité que les deux décèdent avant 80 ans ?	0,01483	CEA_ISUP Assurance_vie multi_vies calcul
3 hommes de 60 ans indépendants : probabilité qu'au moins un soit vivant à 65 ans ?	0,99996	CEA_ISUP Assurance_vie multi_vies combinatoire
2 femmes de 60 ans indépendantes : probabilité que les deux soient vivantes à 65 ans ?	0,97110	CEA_ISUP Assurance_vie multi_vies combinatoire
3 hommes et 2 femmes de 60 ans : au moins 1 homme ET les 2 femmes vivants à 65 ans ?	0,97106	CEA_ISUP Assurance_vie multi_vies combinatoire
Nombre de décès X~Bin(900,0,15). Moyenne et écart-type ?	E[X]=135,0, σ≈10,71.	CEA_ISUP Assurance_vie binomiale calcul
Même X : intervalle normal approximatif 95 % du nombre de décès ?	[114,0 ; 156,0] environ.	CEA_ISUP Assurance_vie binomiale IC
Nombre de décès X~Bin(500,0,20). Moyenne et écart-type ?	E[X]=100,0, σ≈8,94.	CEA_ISUP Assurance_vie binomiale calcul
Même X : intervalle normal approximatif 95 % du nombre de décès ?	[82,5 ; 117,5] environ.	CEA_ISUP Assurance_vie binomiale IC
Nombre de décès X~Bin(1000,0,10). Moyenne et écart-type ?	E[X]=100,0, σ≈9,49.	CEA_ISUP Assurance_vie binomiale calcul
Même X : intervalle normal approximatif 95 % du nombre de décès ?	[81,4 ; 118,6] environ.	CEA_ISUP Assurance_vie binomiale IC
Capital différé : âge 55  terme 10 ans  capital 100 000 €  taux 2.0 %  survie à terme 0 90. Prime pure unique ?	73 831 € environ.	CEA_ISUP Assurance_vie prime_pure calcul
Capital différé : âge 60  terme 5 ans  capital 50 000 €  taux 2.5 %  survie à terme 0 95. Prime pure unique ?	41 983 € environ.	CEA_ISUP Assurance_vie prime_pure calcul
Capital différé : âge 50  terme 15 ans  capital 120 000 €  taux 3.0 %  survie à terme 0 85. Prime pure unique ?	65 470 € environ.	CEA_ISUP Assurance_vie prime_pure calcul
Dans le modèle de De Moivre classique avec âge limite ω, survie conditionnelle à x sur t ans ?	(ω−x−t)/(ω−x), pour 0≤t≤ω−x.	CEA_ISUP Assurance_vie de_moivre
